WorkTitle #,Word,Tag,POS
Sentence: 1, Organized,O,VBN
,Guilt,O,NNP
,and,O,CC
,Universal,O,NNP
,Responsibility,O,NNP
,The,O,DT
,greater,O,JJR
,the,O,DT
,military,O,JJ
,defeats,O,NNS
,of,O,IN
,the,O,DT
,“,O,NNP
,Wehrmacht,O,NNP
,”,O,NNP
,in,O,IN
,the,O,DT
,field,O,NN
,",",O,","
,the,O,DT
,greater,O,JJR
,becomes,O,NNS
,that,O,IN
,victory,O,NN
,of,O,IN
,Nazi,O,NNP
,political,O,JJ
,warfare,O,NN
,which,O,WDT
,is,O,VBZ
,so,O,RB
,often,O,RB
,incorrectly,O,RB
,described,O,VBN
,as,O,IN
,mere,O,JJ
,propaganda,O,NN
,.,O,.
,It,O,PRP
,is,O,VBZ
,the,O,DT
,central,O,JJ
,thesis,O,NN
,of,O,IN
,this,O,DT
,Nazi,O,NNP
,political,O,JJ
,strategy,O,NN
,that,O,IN
,there,O,EX
,is,O,VBZ
,no,O,DT
,difference,O,NN
,between,O,IN
,Nazis,O,NNP
,and,O,CC
,Germans,O,NNPS
,",",O,","
,that,O,IN
,the,O,DT
,people,O,NNS
,stand,O,VBP
,united,O,VBN
,behind,O,IN
,the,O,DT
,government,O,NN
,",",O,","
,that,O,IN
,all,O,DT
,Allied,O,NNP
,hopes,O,NNS
,of,O,IN
,finding,O,VBG
,part,O,NN
,of,O,IN
,the,O,DT
,people,O,NNS
,uninfected,O,VBD
,ideologically,O,RB
,and,O,CC
,all,O,DT
,appeals,O,NNS
,to,O,TO
,a,O,DT
,democractic,O,JJ
,Germany,O,NNP
,of,O,IN
,the,O,DT
,future,O,NN
,are,O,VBP
,pure,O,JJ
,illusion,O,NN
,.,O,.
,The,O,DT
,implication,O,NN
,of,O,IN
,this,O,DT
,thesis,O,NN
,is,O,VBZ
,",",O,","
,of,O,IN
,course,O,NN
,",",O,","
,that,O,IN
,there,O,EX
,is,O,VBZ
,no,O,DT
,distinction,O,NN
,as,O,IN
,to,O,TO
,responsbility,O,NN
,",",O,","
,that,O,IN
,German,O,JJ
,anti,O,SYM
,-,O,:
,Fascists,O,NNS
,will,O,MD
,suffer,O,VB
,from,O,IN
,defeat,O,NN
,equally,O,RB
,with,O,IN
,German,O,JJ
,Fascists,O,NNS
,",",O,","
,and,O,CC
,that,O,IN
,the,O,DT
,Allies,O,NNPS
,had,O,VBD
,made,O,VBN
,such,O,JJ
,distinctions,O,NNS
,at,O,IN
,the,O,DT
,beginning,O,NN
,of,O,IN
,the,O,DT
,war,O,NN
,only,O,RB
,for,O,IN
,propoganda,O,NN
,purposes,O,NNS
,.,O,.
,A,O,DT
,further,O,JJ
,implication,O,NN
,is,O,VBZ
,that,O,IN
,Allied,O,NNP
,provisions,O,NNS
,for,O,IN
,punishment,O,NN
,of,O,IN
,war,O,NN
,criminals,O,NNS
,will,O,MD
,turn,O,VB
,out,O,RP
,to,O,TO
,be,O,VB
,empty,O,JJ
,threats,O,NNS
,because,O,IN
,they,O,PRP
,find,O,VBP
,no,O,DT
,one,O,NN
,to,O,TO
,whom,O,WP
,the,O,DT
,title,O,NN
,of,O,IN
,war,O,NN
,criminal,O,NN
,could,O,MD
,not,O,RB
,be,O,VB
,applied,O,VBN
,.,O,.
,That,O,DT
,such,O,JJ
,claims,O,NNS
,are,O,VBP
,not,O,RB
,mere,O,JJ
,propaganda,O,NNS
,but,O,CC
,are,O,VBP
,supported,O,VBN
,by,O,IN
,very,O,RB
,real,O,JJ
,and,O,CC
,fearful,O,JJ
,facts,O,NNS
,",",O,","
,we,O,PRP
,have,O,VBP
,all,O,DT
,learned,O,VBN
,in,O,IN
,the,O,DT
,past,O,JJ
,seven,O,CD
,years,O,NNS
,.,O,.
,The,O,DT
,terror,O,NN
,-,O,:
,organizations,O,NNS
,which,O,WDT
,were,O,VBD
,at,O,IN
,first,O,JJ
,strictly,O,RB
,separated,O,VBN
,from,O,IN
,the,O,DT
,mass,O,NN
,of,O,IN
,the,O,DT
,people,O,NNS
,",",O,","
,admitting,O,VBG
,only,O,JJ
,persons,O,NNS
,who,O,WP
,could,O,MD
,show,O,VB
,a,O,DT
,criminal,O,JJ
,past,O,NN
,or,O,CC
,prove,O,VB
,their,O,PRP$
,preparedness,O,NN
,to,O,TO
,become,O,VB
,criminals,O,NNS
,",",O,","
,have,O,VBP
,since,O,IN
,been,O,VBN
,continually,O,RB
,expanded,O,VBN
,.,O,.
,The,O,DT
,ban,O,NN
,on,O,IN
,party,O,NN
,membership,O,NN
,for,O,IN
,members,O,NNS
,of,O,IN
,the,O,DT
,army,O,NN
,has,O,VBZ
,been,O,VBN
,dissolved,O,VBN
,by,O,IN
,the,O,DT
,general,O,JJ
,order,O,NN
,which,O,WDT
,subordinates,O,VBZ
,all,O,DT
,soldiers,O,NNS
,to,O,TO
,the,O,DT
,party,O,NN
,.,O,.
,Whereas,O,NNP
,those,O,DT
,crimes,O,NNS
,which,O,WDT
,have,O,VBP
,always,O,RB
,been,O,VBN
,a,O,DT
,part,O,NN
,of,O,IN
,the,O,DT
,daily,O,JJ
,routine,O,NN
,of,O,IN
,concentration,O,NN
,camps,O,NNS
,since,O,IN
,the,O,DT
,beginning,O,NN
,of,O,IN
,the,O,DT
,Nazi,O,NNP
,regime,O,NN
,were,O,VBD
,at,O,IN
,first,O,JJ
,a,O,DT
,jealously,O,RB
,guarded,O,JJ
,monopoly,O,NN
,of,O,IN
,the,O,DT
,SS,O,NNP
,and,O,CC
,Gestapo,O,NNP
,",",O,","
,today,O,NN
,members,O,NNS
,of,O,IN
,the,O,DT
,Wehrmacht,O,NNP
,are,O,VBP
,assigned,O,VBN
,at,O,IN
,will,O,MD
,to,O,TO
,duties,O,NNS
,of,O,IN
,mass,O,NN
,murder,O,NN
,.,O,.
,These,O,DT
,crimes,O,NNS
,were,O,VBD
,at,O,IN
,first,O,JJ
,kept,O,NN
,secret,O,NN
,by,O,IN
,every,O,DT
,possible,O,JJ
,means,O,NNS
,and,O,CC
,any,O,DT
,publication,O,NN
,of,O,IN
,such,O,JJ
,reports,O,NNS
,was,O,VBD
,made,O,VBN
,punishable,O,JJ
,as,O,IN
